year,quarter,region_ar,city_ar,Category,total_deals,average
2024,3,المنطقة الشرقية,الخبر,معرض تجاري - تجاري,575,810.57016
2024,3,المنطقة الشرقية,الدمام,معرض تجاري - تجاري,943,751.888099
2024,3,المنطقة الشرقية,الخبر,مكتب - تجاري,1031,470.78459
2024,3,المنطقة الشرقية,الدمام,مكتب - تجاري,1408,346.535478
2024,4,المنطقة الشرقية,الخبر,استديو - سكني,1994,14571.61484
2024,4,المنطقة الشرقية,الدمام,استديو - سكني,4733,12800.30528
2024,4,المنطقة الشرقية,الخبر,دوبلاكس - سكني,196,47477.65318
2024,4,المنطقة الشرقية,الدمام,دوبلاكس - سكني,341,39974.55479
2024,4,المنطقة الشرقية,الخبر,دور - سكني,273,32587.52489
2024,4,المنطقة الشرقية,الدمام,دور - سكني,659,28844.75514
2024,4,المنطقة الشرقية,الخبر,شقة - سكني,22708,20695.46025
2024,4,المنطقة الشرقية,الدمام,شقة - سكني,39212,18469.11369
2024,4,المنطقة الشرقية,الخبر,فيلا - سكني,1260,81566.40084
2024,4,المنطقة الشرقية,الدمام,فيلا - سكني,986,57581.59341
2024,4,المنطقة الشرقية,الخبر,محل - تجاري,2976,668.305115
2024,4,المنطقة الشرقية,الدمام,محل - تجاري,6342,778.112699
2024,4,المنطقة الشرقية,الخبر,معرض تجاري - تجاري,748,667.447181
2024,4,المنطقة الشرقية,الدمام,معرض تجاري - تجاري,1009,816.924025
2024,4,المنطقة الشرقية,الخبر,مكتب - تجاري,1250,462.680926
2024,4,المنطقة الشرقية,الدمام,مكتب - تجاري,1665,351.999464
