السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار  ر.س,متوسط الايجار لكل متر مربع ر.س
2026,1,الرياض,دقله,دقله,محل,تجاري,1,0,0
2026,1,الرياض,الرياض,الإزدهار,مكتب,تجاري,79,0,0
2026,1,الرياض,حوطه بنى تميم,المجد,استديو,سكني,1,8000,80
2026,1,الرياض,الرياض,عتيقة,دور,سكني,94,16607.27,110.88
2026,1,الرياض,الرياض,المروج,دوبلاكس,سكني,9,54125,239.4
2026,1,الرياض,بطاحة,بطاحة,محل,تجاري,1,0,0
2026,1,الرياض,الهياثم,مشرفة,شقة,سكني,34,17832.29,138.97
2026,1,الرياض,الارطاوي,الارطاوي,محل,تجاري,2,0,0
2026,1,الرياض,الزلفي,الفيصلية,معرض تجاري,تجاري,1,0,0
2026,1,الرياض,المزاحمية,الشلال,محل,تجاري,2,0,0
2026,1,الرياض,شبيرمه,شبيرمه,محل,تجاري,1,0,0
2026,1,الرياض,المجمعة,المستقبل,شقة,سكني,82,17053.01,138.39
2026,1,الرياض,الزلفي,الندى,شقة,سكني,6,13400,103.39
2026,1,الرياض,حلبان,الزهور,شقة,سكني,2,12500,47.3
2026,1,الرياض,الرياض,سكيرينة,دور,سكني,10,21642.85,190.56
2026,1,الرياض,الخرج,الهدا,استديو,سكني,1,13200,132
2026,1,الرياض,حريملاء,القرينة القديمة,شقة,سكني,1,20000,200
2026,1,الرياض,الرياض,شبرا,دور,سكني,169,30455.24,138.2
2026,1,الرياض,جلاجل,البلدة القديمة,محل,تجاري,1,0,0
2026,1,الرياض,وادي الدواسر,آل عريمة,شقة,سكني,1,6000,75
2026,1,الرياض,الرياض,الهدا,دوبلاكس,سكني,3,62000,410.59
2026,1,الرياض,القحز,القحز,شقة,سكني,1,14000,116.66
2026,1,الرياض,الرياض,السفارات,معرض تجاري,تجاري,2,0,0
2026,1,الرياض,الرياض,العماجية,شقة,سكني,5,17000,161.41
2026,1,الرياض,الرياض,الملقا,دوبلاكس,سكني,56,73450.05,360.58
2026,1,الرياض,رماح,الورود,محل,تجاري,9,0,0
2026,1,الرياض,الأفلاج,الأندلس,دور,سكني,1,25200,84
2026,1,الرياض,الرياض,الغدير,معرض تجاري,تجاري,11,0,0
2026,1,الرياض,السيباني,مركز السيباني (أ),دور,سكني,1,12000,93.66
2026,1,الرياض,الرياض,ظهره العودة غرب,استديو,سكني,8,28071.42,304.51
2026,1,الرياض,أشيقر,مخطط رقم 247,شقة,سكني,4,14250,104.64
2026,1,الرياض,عفيف,النخيل,فيلا,سكني,7,11040,41.21
2026,1,الرياض,الرياض,الدار البيضاء,معرض تجاري,تجاري,47,0,0
2026,1,الرياض,الدوادمي,الحرمين,محل,تجاري,17,0,0
2026,1,الرياض,شقراء,الملك عبدالله,دور,سكني,2,12000,83.33
2026,1,الرياض,الخرج,الجامعة,دور,سكني,12,24840,103.79
2026,1,الرياض,الخرج,الورود,دور,سكني,25,22976.19,100.52
2026,1,الرياض,حوطه سدير,النهضة,شقة,سكني,18,13285.71,95.95
2026,1,الرياض,الغاط,الياسمين,شقة,سكني,14,10618.18,70.89
2026,1,الرياض,ضرما,مزارع الخبراء,شقة,سكني,1,17500,87.5
2026,1,الرياض,القويعية,الصناعية,محل,تجاري,1,0,0
2026,1,الرياض,المجمعة,المستشفى الجامعي,شقة,سكني,2,17250,135.83
2026,1,الرياض,الحريق - الربواء,الربواء,شقة,سكني,1,18000,180
2026,1,الرياض,المجمعة - تمير,الخليج,محل,تجاري,1,0,0
2026,1,الرياض,روضه سدير,الغدير,فيلا,سكني,1,14000,56
2026,1,الرياض,الزلفي,الملك سلمان,محل,تجاري,5,0,0
2026,1,الرياض,الرياض,الدحو,دور,سكني,1,10000,50
2026,1,الرياض,الأرطاوية,الورود,محل,تجاري,2,0,0
2026,1,الرياض,روضه سدير,الغدير,محل,تجاري,4,0,0
2026,1,الرياض,ضرما,الورود,شقة,سكني,21,19000,98.88
2026,1,الرياض,الجبيلة,نجد,محل,تجاري,3,0,0
2026,1,الرياض,الجبيلة,عقرباء,معرض تجاري,تجاري,1,0,0
2026,1,الرياض,القصب,النهضة,شقة,سكني,3,9333.33,46.11
2026,1,الرياض,الرياض,المرسلات,معرض تجاري,تجاري,72,0,0
2026,1,الرياض,الدوادمي,الخالدية,فيلا,سكني,18,12680,41.67
2026,1,الرياض,رويغب,رويغب,شقة,سكني,5,8600,83.17
2026,1,الرياض,الخرج,السيح,شقة,سكني,226,11479.27,107.89
2026,1,الرياض,مرات,كميت,شقة,سكني,2,9500,79.16
2026,1,الرياض,الرياض,الحزم,دوبلاكس,سكني,15,28816.66,160.91
2026,1,الرياض,الهمجه,الهمجه,شقة,سكني,1,18000,100
2026,1,الرياض,الزلفي,علقة,دور,سكني,3,11666.66,66.79
2026,1,الرياض,الهدار,الفيحاء,فيلا,سكني,1,500000,555.55
2026,1,الرياض,الرين,القادسية,دور,سكني,1,18000,107.99
2026,1,الرياض,الرياض,الخير,معرض تجاري,تجاري,4,0,0
2026,1,الرياض,الرياض,العزيزية,استديو,سكني,82,14091,340.06
2026,1,الرياض,حريملاء,حي ج14,شقة,سكني,2,10500,71.34
2026,1,الرياض,مشذوبه,مشذوبه,شقة,سكني,2,8400,99.83
2026,1,الرياض,الجبيلة,العين,دور,سكني,1,25000,125
2026,1,الرياض,الهياثم,الرفيعة,شقة,سكني,3,17333.33,96.66
2026,1,الرياض,الرياض,العليا,فيلا,سكني,248,110688.31,388.92
2026,1,الرياض,الرياض,المونسية,دوبلاكس,سكني,48,154064.18,776.79
2026,1,الرياض,الرياض,الياسمين,دوبلاكس,سكني,55,66204.91,345
